,period,return,dd,sharpe
0,7,208.47,14.85,1.15
1,8,535.17,24.44,1.07
2,9,683.31,23.43,1.06
3,10,251.14,21.84,1.12
4,11,-58.22,55.79,-1.28
5,12,-38.30,54.29,-1.49
6,13,-38.55,52.07,-1.53
7,14,-37.54,53.96,-1.58
8,15,-17.37,55.98,-0.37
9,16,-19.35,56.18,-0.38
10,17,-38.59,56.65,-0.54
11,18,-41.77,58.38,-0.56
12,19,-41.84,58.83,-0.55
13,20,-44.12,59.76,-0.57
14,21,-58.81,56.03,-0.64
15,22,-86.96,77.12,-0.76
16,23,-87.98,78.40,-0.78
17,24,-87.64,77.74,-0.78
18,25,-85.38,74.05,-0.81
19,26,-98.61,99.83,-0.88
20,27,-96.91,93.61,-0.88
21,28,-95.42,87.92,-1.05
